Time,wfv_1,wfv_2,wfv_3
6/2/22 18:45,24.29158956,21.09550218,20.85712618
6/2/22 19:00,24.29158956,20.81878846,20.85712618
6/2/22 19:15,24.29440543,20.65427227,20.8586589
6/2/22 19:30,24.2958133,21.10007205,20.86019156
6/2/22 19:45,24.2958133,20.82185688,20.7758051
6/2/22 20:00,24.29862889,20.82339099,20.7758051
6/2/22 20:15,24.02888706,20.82492505,20.77734104
6/2/22 20:30,24.30003661,20.82492505,20.77734104
6/2/22 20:45,24.30144429,20.82799298,20.77734104
6/2/22 21:00,24.46441738,20.82799298,20.86632159
6/2/22 21:15,24.46441738,20.82799298,20.77887692
6/2/22 21:30,24.26342052,20.82799298,20.77887692
6/2/22 21:45,24.19714907,20.82799298,20.77887692
6/2/22 22:00,24.19714907,20.82799298,20.77887692
6/2/22 22:15,24.26482942,20.91073537,20.57561046
6/2/22 22:30,24.26482942,20.91073537,20.57561046
6/2/22 22:45,24.26482942,20.91073537,20.57561046
6/2/22 23:00,24.26764708,20.91073537,20.66505646
6/2/22 23:15,24.26764708,20.90920471,20.57406646
6/2/22 23:30,24.3338079,20.90920471,20.66197557
6/2/22 23:45,24.26764708,20.62652761,20.66197557
6/3/22 0:00,24.26764708,20.62498566,20.66197557
6/3/22 0:15,24.33099466,20.62498566,20.82952685
6/3/22 0:30,24.33099466,20.70970176,20.66043503
6/3/22 0:45,24.06287657,20.70816313,20.65889443
6/3/22 1:00,24.06287657,20.70662443,20.65889443
6/3/22 1:15,24.06287657,20.70662443,20.65735377
6/3/22 1:30,24.06146089,20.70508568,20.65735377
6/3/22 1:45,24.06146089,20.70508568,20.65581305
6/3/22 2:00,24.06146089,20.70508568,20.7435362
6/3/22 2:15,24.12935974,20.70354686,20.7435362
6/3/22 2:30,24.1279463,20.70200798,20.45034537
6/3/22 2:45,24.1279463,20.50297554,20.44879633
6/3/22 3:00,23.85567925,20.7819485,20.44879633
6/3/22 3:15,23.85425655,20.49988164,20.44724723
6/3/22 3:30,24.12511927,20.49988164,20.44724723
6/3/22 3:45,23.85425655,20.49988164,20.44569806
6/3/22 4:00,23.8528338,20.4983346,20.44569806
6/3/22 4:15,23.9224918,20.49524033,20.44414884
6/3/22 4:30,23.9224918,20.58178582,20.44414884
6/3/22 4:45,23.91965088,20.57869826,20.53080939
6/3/22 5:00,23.91965088,20.57869826,20.53080939
6/3/22 5:15,23.91823035,20.57715439,20.52926359
6/3/22 5:30,23.91823035,20.57561046,20.52926359
6/3/22 5:45,23.91823035,20.57561046,20.52771773
6/3/22 6:00,23.91680978,20.57406646,20.52771773
6/3/22 6:15,23.98494312,20.57406646,20.52617181
6/3/22 6:30,23.98494312,20.5725224,20.52617181
6/3/22 6:45,23.98210644,20.5725224,20.52462583
6/3/22 7:00,23.98210644,20.57097828,20.61264779
6/3/22 7:15,23.98068803,20.57097828,20.61110528
6/3/22 7:30,23.71031278,20.65273142,20.61110528
6/3/22 7:45,23.98068803,20.65273142,20.55398887
6/3/22 8:00,23.70745738,20.36971218,20.72200862
6/3/22 8:15,23.70745738,20.36971218,20.52153368
6/3/22 8:30,23.70602961,20.36815987,20.51998751
6/3/22 8:45,23.70602961,20.36815987,20.60647738
6/3/22 9:00,23.77593298,20.36815987,20.51844127
6/3/22 9:15,23.70460179,20.36660751,20.34797419
